epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2304.19,0.86961,0.77374,1.11321,0.84587,0.67773,0.75007,0.42068,1.45077,0.88473,1.48182,0.000219198,0.000219198,0.000219198
72,2335.68,0.86254,0.76524,1.11332,0.84827,0.67695,0.75592,0.42759,1.44668,0.87013,1.4917,0.000212129,0.000212129,0.000212129
73,2367.09,0.87088,0.77427,1.11603,0.87875,0.65884,0.75167,0.4381,1.42073,0.87621,1.45612,0.000205061,0.000205061,0.000205061
74,2398.92,0.85252,0.76221,1.11263,0.88135,0.66264,0.75338,0.42652,1.47101,0.90064,1.51877,0.000197992,0.000197992,0.000197992
75,2432.11,0.84659,0.75356,1.10815,0.84486,0.69424,0.76325,0.45006,1.40594,0.84032,1.44956,0.000190924,0.000190924,0.000190924
76,2464.12,0.83793,0.75071,1.09958,0.88042,0.67094,0.74973,0.44148,1.40343,0.87324,1.44642,0.000183855,0.000183855,0.000183855
77,2495.77,0.83937,0.74394,1.10004,0.87141,0.69162,0.75798,0.45202,1.36616,0.84897,1.42897,0.000176786,0.000176786,0.000176786
78,2527.86,0.83661,0.73808,1.09211,0.83101,0.69506,0.75956,0.44778,1.39652,0.84377,1.45261,0.000169718,0.000169718,0.000169718
79,2560.17,0.83135,0.74531,1.09778,0.88002,0.67213,0.75998,0.43449,1.44372,0.88038,1.49151,0.000162649,0.000162649,0.000162649
80,2593.15,0.84436,0.73896,1.10081,0.8948,0.65757,0.74958,0.44136,1.43523,0.85964,1.48455,0.000155581,0.000155581,0.000155581
81,2625.12,0.84505,0.74641,1.1,0.86848,0.68392,0.76495,0.45891,1.36556,0.83551,1.43049,0.000148512,0.000148512,0.000148512
82,2657.56,0.82259,0.7252,1.09336,0.85045,0.68578,0.75766,0.44038,1.43012,0.85781,1.48809,0.000141443,0.000141443,0.000141443
83,2690.8,0.82677,0.71866,1.08643,0.90693,0.65177,0.76062,0.4563,1.38704,0.85594,1.44251,0.000134375,0.000134375,0.000134375
84,2723.19,0.81774,0.7264,1.08744,0.85891,0.67419,0.75275,0.44338,1.41855,0.84071,1.48805,0.000127306,0.000127306,0.000127306
85,2755.08,0.81832,0.71732,1.09035,0.87949,0.67865,0.75933,0.455,1.36433,0.83279,1.42231,0.000120238,0.000120238,0.000120238
86,2786.95,0.80701,0.70361,1.07979,0.84818,0.6951,0.76156,0.44453,1.39816,0.83929,1.46158,0.000113169,0.000113169,0.000113169
87,2818.91,0.81565,0.71435,1.08787,0.86876,0.68913,0.76212,0.44824,1.39255,0.84245,1.45819,0.0001061,0.0001061,0.0001061
88,2852.24,0.81261,0.7116,1.08173,0.84056,0.68247,0.75461,0.44827,1.38688,0.85716,1.45131,9.90318e-05,9.90318e-05,9.90318e-05
89,2884.37,0.80679,0.70519,1.07925,0.87955,0.69078,0.76482,0.45165,1.38611,0.83444,1.45109,9.19632e-05,9.19632e-05,9.19632e-05
90,2916.5,0.81221,0.70581,1.07775,0.87507,0.69168,0.76857,0.46757,1.35276,0.80757,1.41962,8.48946e-05,8.48946e-05,8.48946e-05
91,2950.07,0.83213,0.66882,1.09097,0.88819,0.65705,0.7556,0.44895,1.38104,0.86206,1.4434,7.7826e-05,7.7826e-05,7.7826e-05
92,2981.67,0.80117,0.62532,1.07914,0.88254,0.67351,0.75745,0.46112,1.34961,0.84385,1.41659,7.07574e-05,7.07574e-05,7.07574e-05
93,3012.41,0.79182,0.60762,1.07251,0.87512,0.68221,0.75908,0.45315,1.37324,0.85383,1.43869,6.36888e-05,6.36888e-05,6.36888e-05
94,3042.98,0.78431,0.60498,1.0672,0.84844,0.68041,0.75696,0.44942,1.39982,0.85884,1.46871,5.66202e-05,5.66202e-05,5.66202e-05
95,3073.26,0.77939,0.60247,1.0664,0.84628,0.68333,0.76005,0.46,1.36808,0.84512,1.43348,4.95516e-05,4.95516e-05,4.95516e-05
96,3104.15,0.77113,0.59141,1.05844,0.87557,0.67906,0.76411,0.45629,1.37443,0.84294,1.44381,4.2483e-05,4.2483e-05,4.2483e-05
97,3135.33,0.76747,0.58735,1.05731,0.84704,0.69463,0.76115,0.46096,1.36982,0.83707,1.43514,3.54144e-05,3.54144e-05,3.54144e-05
98,3165.66,0.76577,0.59224,1.05675,0.8664,0.68462,0.76596,0.46336,1.37762,0.82652,1.4477,2.83458e-05,2.83458e-05,2.83458e-05
99,3197.86,0.77093,0.59209,1.06339,0.84876,0.69449,0.76322,0.46555,1.34893,0.81758,1.43194,2.12772e-05,2.12772e-05,2.12772e-05
100,3228.58,0.75165,0.57899,1.05116,0.85809,0.69052,0.76564,0.46619,1.34402,0.81842,1.42466,1.42086e-05,1.42086e-05,1.42086e-05
